,date,close_price,volume
4868,2006-02-17,673000,443189
4867,2006-02-20,683000,362991
4866,2006-02-21,672000,358335
4865,2006-02-22,670000,499074
4864,2006-02-23,681000,332151
4863,2006-02-24,681000,282337
4862,2006-02-27,691000,245877
4861,2006-02-28,687000,267304
4860,2006-03-02,686000,307133
4859,2006-03-03,652000,765966
4858,2006-03-06,658000,479364
4857,2006-03-07,629000,833034
4856,2006-03-08,623000,987621
4855,2006-03-09,615000,782188
4854,2006-03-10,620000,617916
4853,2006-03-13,632000,385826
4852,2006-03-14,624000,366887
4851,2006-03-15,629000,393212
4850,2006-03-16,632000,285743
4849,2006-03-17,637000,271822
4848,2006-03-20,638000,199012
4847,2006-03-21,635000,235018
4846,2006-03-22,614000,607895
4845,2006-03-23,608000,544726
4844,2006-03-24,609000,343435
4843,2006-03-27,624000,398073
4842,2006-03-28,628000,303389
4841,2006-03-29,626000,307420
4840,2006-03-30,623000,298336
4839,2006-03-31,630000,417979
4838,2006-04-03,646000,434180
4837,2006-04-04,653000,391855
4836,2006-04-05,648000,266229
4835,2006-04-06,657000,455479
4834,2006-04-07,654000,370289
4833,2006-04-10,642000,422457
4832,2006-04-11,636000,315382
4831,2006-04-12,630000,245702
4830,2006-04-13,638000,472926
4829,2006-04-14,655000,656189
4828,2006-04-17,648000,276017
4827,2006-04-18,655000,408610
4826,2006-04-19,665000,454502
4825,2006-04-20,663000,354217
4824,2006-04-21,690000,811536
4823,2006-04-24,673000,629815
4822,2006-04-25,660000,573428
4821,2006-04-26,668000,444159
4820,2006-04-27,664000,387665
4819,2006-04-28,644000,558038
4818,2006-05-02,649000,554295
4817,2006-05-03,639000,422943
4816,2006-05-04,645000,358570
4815,2006-05-08,655000,360331
4814,2006-05-09,661000,374489
4813,2006-05-10,657000,358504
4812,2006-05-11,663000,370124
4811,2006-05-12,655000,505552
4810,2006-05-15,650000,564701
4809,2006-05-16,641000,444398
4808,2006-05-17,653000,456718
4807,2006-05-18,641000,449293
4806,2006-05-19,638000,444471
4805,2006-05-22,624000,417043
4804,2006-05-23,630000,596744
4803,2006-05-24,629000,556616
4802,2006-05-25,616000,515523
4801,2006-05-26,620000,481028
4800,2006-05-29,622000,303251
4799,2006-05-30,612000,421709
4798,2006-06-01,606000,600278
4797,2006-06-02,614000,388064
4796,2006-06-05,613000,319869
4795,2006-06-07,599000,613711
4794,2006-06-08,575000,828960
4793,2006-06-09,575000,611160
4792,2006-06-12,572000,478698
4791,2006-06-13,549000,826105
4790,2006-06-14,553000,652894
4789,2006-06-15,553000,384950
4788,2006-06-16,571000,562580
4787,2006-06-19,564000,417912
4786,2006-06-20,556000,391732
4785,2006-06-21,556000,275733
4784,2006-06-22,565000,467571
4783,2006-06-23,568000,297930
4782,2006-06-26,582000,463995
4781,2006-06-27,583000,315355
4780,2006-06-28,580000,368498
4779,2006-06-29,590000,319977
4778,2006-06-30,603000,589329
4777,2006-07-03,605000,251869
4776,2006-07-04,601000,190793
4775,2006-07-05,603000,269876
4774,2006-07-06,598000,350618
4773,2006-07-07,601000,288042
4772,2006-07-10,606000,358169
4771,2006-07-11,608000,338181
4770,2006-07-12,608000,469399
4769,2006-07-13,600000,475982
4768,2006-07-14,584000,487421
4767,2006-07-18,582000,303848
4766,2006-07-19,580000,284263
4765,2006-07-20,598000,442084
4764,2006-07-21,597000,197197
4763,2006-07-24,588000,309236
4762,2006-07-25,598000,333605
4761,2006-07-26,599000,153988
4760,2006-07-27,604000,305647
4759,2006-07-28,600000,196304
4758,2006-07-31,608000,553216
4757,2006-08-01,605000,267449
4756,2006-08-02,609000,218896
4755,2006-08-03,610000,251309
4754,2006-08-04,615000,162429
4753,2006-08-07,606000,301027
4752,2006-08-08,615000,279143
4751,2006-08-09,616000,302756
4750,2006-08-10,614000,349779
4749,2006-08-11,607000,331499
4748,2006-08-14,605000,344119
4747,2006-08-16,618000,394115
4746,2006-08-17,644000,776523
4745,2006-08-18,658000,754939
4744,2006-08-21,657000,367493
4743,2006-08-22,658000,393161
4742,2006-08-23,646000,294230
4741,2006-08-24,637000,355650
4740,2006-08-25,646000,320356
4739,2006-08-28,643000,214444
4738,2006-08-29,660000,309598
4737,2006-08-30,652000,283944
4736,2006-08-31,650000,413401
4735,2006-09-01,653000,179028
4734,2006-09-04,656000,179730
4733,2006-09-05,657000,146528
4732,2006-09-06,654000,165470
4731,2006-09-07,649000,202533
4730,2006-09-08,647000,167494
4729,2006-09-11,633000,366389
4728,2006-09-12,632000,353782
4727,2006-09-13,642000,499576
4726,2006-09-14,655000,620439
4725,2006-09-15,656000,239772
4724,2006-09-18,673000,527198
4723,2006-09-19,672000,289412
4722,2006-09-20,667000,315110
4721,2006-09-21,665000,285264
4720,2006-09-22,654000,235364
4719,2006-09-25,650000,250113
4718,2006-09-26,651000,257110
4717,2006-09-27,659000,355216
4716,2006-09-28,668000,343998
4715,2006-09-29,664000,226625
4714,2006-10-02,665000,290037
4713,2006-10-04,648000,403729
4712,2006-10-09,642000,597019
4711,2006-10-10,640000,197276
4710,2006-10-11,640000,216929
4709,2006-10-12,636000,372132
4708,2006-10-13,644000,269853
4707,2006-10-16,650000,340581
4706,2006-10-17,647000,183493
4705,2006-10-18,642000,323106
4704,2006-10-19,636000,334332
4703,2006-10-20,631000,464194
4702,2006-10-23,625000,433013
4701,2006-10-24,626000,363472
4700,2006-10-25,625000,354819
4699,2006-10-26,629000,333162
4698,2006-10-27,620000,441651
4697,2006-10-30,609000,402440
4696,2006-10-31,611000,482808
4695,2006-11-01,615000,279048
4694,2006-11-02,614000,260489
4693,2006-11-03,611000,280251
4692,2006-11-06,605000,348796
4691,2006-11-07,609000,355836
4690,2006-11-08,615000,280736
4689,2006-11-09,631000,565233
4688,2006-11-10,629000,269615
4687,2006-11-13,639000,330929
4686,2006-11-14,647000,373706
4685,2006-11-15,662000,597223
4684,2006-11-16,657000,380746
4683,2006-11-17,654000,185934
4682,2006-11-20,652000,288586
4681,2006-11-21,650000,210661
4680,2006-11-22,660000,243090
4679,2006-11-23,654000,249849
4678,2006-11-24,652000,182419
4677,2006-11-27,642000,322215
4676,2006-11-28,630000,322048
4675,2006-11-29,629000,339139
4674,2006-11-30,638000,331362
4673,2006-12-01,640000,168014
4672,2006-12-04,641000,200100
4671,2006-12-05,638000,350827
4670,2006-12-06,635000,262821
4669,2006-12-07,626000,297643
4668,2006-12-08,611000,510161
4667,2006-12-11,604000,451199
4666,2006-12-12,600000,328052
4665,2006-12-13,602000,347571
4664,2006-12-14,614000,869434
4663,2006-12-15,608000,473796
4662,2006-12-18,610000,404331
4661,2006-12-19,610000,342849
4660,2006-12-20,616000,484659
4659,2006-12-21,615000,322380
4658,2006-12-22,610000,346335
4657,2006-12-26,606000,311490
4656,2006-12-27,612000,196598
4655,2006-12-28,613000,218266
4654,2007-01-02,625000,355265
4653,2007-01-03,611000,394730
4652,2007-01-04,607000,381464
4651,2007-01-05,595000,586649
4650,2007-01-08,582000,682494
4649,2007-01-09,586000,402197
4648,2007-01-10,578000,522576
4647,2007-01-11,582000,613040
4646,2007-01-12,603000,826085
4645,2007-01-15,612000,673506
4644,2007-01-16,613000,310451
4643,2007-01-17,602000,498084
4642,2007-01-18,595000,435259
4641,2007-01-19,585000,744502
4640,2007-01-22,591000,424080
4639,2007-01-23,596000,515474
4638,2007-01-24,601000,285136
4637,2007-01-25,603000,235971
4636,2007-01-26,587000,769965
4635,2007-01-29,578000,595390
4634,2007-01-30,583000,427479
4633,2007-01-31,579000,375461
4632,2007-02-01,580000,407592
4631,2007-02-02,587000,767090
4630,2007-02-05,586000,484554
4629,2007-02-06,587000,296092
4628,2007-02-07,586000,427843
4627,2007-02-08,581000,515750
4626,2007-02-09,585000,316085
4625,2007-02-12,572000,925768
4624,2007-02-13,562000,791736
4623,2007-02-14,567000,630109
4622,2007-02-15,574000,629396
4621,2007-02-16,590000,856061
4620,2007-02-20,600000,466277
4619,2007-02-21,606000,553852
4618,2007-02-22,602000,369153
4617,2007-02-23,593000,528882
4616,2007-02-26,583000,588859
4615,2007-02-27,581000,449491
4614,2007-02-28,567000,907799
4613,2007-03-02,566000,674137
4612,2007-03-05,563000,551685
4611,2007-03-06,569000,581082
4610,2007-03-07,570000,533148
4609,2007-03-08,574000,581132
4608,2007-03-09,586000,624981
4607,2007-03-12,602000,633907
4606,2007-03-13,600000,336560
4605,2007-03-14,584000,501489
4604,2007-03-15,586000,491675
4603,2007-03-16,589000,290331
4602,2007-03-19,587000,251118
4601,2007-03-20,579000,430997
4600,2007-03-21,579000,251192
4599,2007-03-22,582000,442398
4598,2007-03-23,580000,345432
4597,2007-03-26,584000,317996
4596,2007-03-27,580000,375604
4595,2007-03-28,572000,452146
4594,2007-03-29,569000,615086
4593,2007-03-30,563000,455340
4592,2007-04-02,566000,400701
4591,2007-04-03,574000,393533
4590,2007-04-04,595000,895368
4589,2007-04-05,593000,315446
4588,2007-04-06,587000,308915
4587,2007-04-09,584000,255566
4586,2007-04-10,578000,445632
4585,2007-04-11,599000,849659
4584,2007-04-12,604000,687057
4583,2007-04-13,601000,717531
4582,2007-04-16,593000,404544
4581,2007-04-17,593000,447858
4580,2007-04-18,583000,504000
4579,2007-04-19,569000,642283
4578,2007-04-20,573000,334966
4577,2007-04-23,570000,371509
4576,2007-04-24,571000,502092
4575,2007-04-25,564000,590415
4574,2007-04-26,580000,542671
4573,2007-04-27,580000,608528
4572,2007-04-30,574000,377020
4571,2007-05-02,575000,330000
4570,2007-05-03,574000,293331
4569,2007-05-04,576000,242355
4568,2007-05-07,587000,585381
4567,2007-05-08,582000,609400
4566,2007-05-09,580000,388931
4565,2007-05-10,575000,425696
4564,2007-05-11,573000,361271
4563,2007-05-14,574000,303571
4562,2007-05-15,573000,332598
4561,2007-05-16,570000,274571
4560,2007-05-17,566000,659833
4559,2007-05-18,554000,887355
4558,2007-05-21,552000,541705
4557,2007-05-22,565000,818029
4556,2007-05-23,562000,376001
4555,2007-05-25,552000,610558
4554,2007-05-28,548000,394294
4553,2007-05-29,537000,688101
4552,2007-05-30,532000,788854
4551,2007-05-31,535000,646556
4550,2007-06-01,556000,965614
4549,2007-06-04,572000,1083523
4548,2007-06-05,571000,610785
4547,2007-06-07,569000,482594
4546,2007-06-08,572000,672987
4545,2007-06-11,578000,669738
4544,2007-06-12,578000,347447
4543,2007-06-13,573000,357930
4542,2007-06-14,581000,639714
4541,2007-06-15,574000,481646
4540,2007-06-18,589000,684731
4539,2007-06-19,585000,381509
4538,2007-06-20,577000,572511
4537,2007-06-21,589000,921332
4536,2007-06-22,591000,830912
4535,2007-06-25,588000,394549
4534,2007-06-26,588000,391951
4533,2007-06-27,581000,347123
4532,2007-06-28,578000,409739
4531,2007-06-29,566000,576459
4530,2007-07-02,565000,306054
4529,2007-07-03,571000,519591
4528,2007-07-04,578000,430156
4527,2007-07-05,591000,668376
4526,2007-07-06,627000,1657421
4525,2007-07-09,643000,1269926
4524,2007-07-10,629000,676063
4523,2007-07-11,635000,531478
4522,2007-07-12,646000,571650
4521,2007-07-13,687000,1373929
4520,2007-07-16,650000,967675
4519,2007-07-18,640000,753917
4518,2007-07-19,636000,596973
4517,2007-07-20,661000,577445
4516,2007-07-23,658000,408561
4515,2007-07-24,654000,358818
4514,2007-07-25,648000,398524
4513,2007-07-26,626000,624477
4512,2007-07-27,596000,1146364
4511,2007-07-30,610000,611850
4510,2007-07-31,614000,460355
4509,2007-08-01,581000,1060710
4508,2007-08-02,590000,586141
4507,2007-08-03,590000,605194
4506,2007-08-06,584000,533294
4505,2007-08-07,584000,314548
4504,2007-08-08,602000,412545
4503,2007-08-09,621000,848994
4502,2007-08-10,603000,614480
4501,2007-08-13,613000,352710
4500,2007-08-14,612000,338452
4499,2007-08-16,580000,1019576
4498,2007-08-17,572000,750269
4497,2007-08-20,590000,480255
4496,2007-08-21,592000,360890
4495,2007-08-22,594000,404209
4494,2007-08-23,599000,399470
4493,2007-08-24,586000,378526
4492,2007-08-27,577000,433787
4491,2007-08-28,576000,524180
4490,2007-08-29,562000,642367
4489,2007-08-30,572000,384634
4488,2007-08-31,591000,604518
4487,2007-09-03,576000,397640
4486,2007-09-04,575000,299246
4485,2007-09-05,569000,392598
4484,2007-09-06,575000,354811
4483,2007-09-07,575000,314939
4482,2007-09-10,563000,355035
4481,2007-09-11,567000,274242
4480,2007-09-12,560000,293606
4479,2007-09-13,562000,487920
4478,2007-09-14,556000,485976
4477,2007-09-17,545000,429775
4476,2007-09-18,542000,475220
4475,2007-09-19,552000,579688
4474,2007-09-20,546000,580397
4473,2007-09-21,534000,789349
4472,2007-09-27,558000,998378
4471,2007-09-28,575000,857833
4470,2007-10-01,573000,343253
4469,2007-10-02,579000,602735
4468,2007-10-04,565000,806971
4467,2007-10-05,553000,595779
4466,2007-10-08,551000,567816
4465,2007-10-09,537000,814499
4464,2007-10-10,552000,651943
4463,2007-10-11,555000,604203
4462,2007-10-12,557000,1131265
4461,2007-10-15,542000,678801
4460,2007-10-16,515000,1337079
4459,2007-10-17,515000,717686
4458,2007-10-18,522000,600895
4457,2007-10-19,540000,970389
4456,2007-10-22,522000,660209
4455,2007-10-23,522000,639428
4454,2007-10-24,513000,809430
4453,2007-10-25,507000,746154
4452,2007-10-26,532000,1028972
4451,2007-10-29,545000,803595
4450,2007-10-30,544000,383367
4449,2007-10-31,550000,554686
4448,2007-11-01,549000,535987
4447,2007-11-02,540000,478373
4446,2007-11-05,528000,552045
4445,2007-11-06,548000,615179
4444,2007-11-07,570000,1185442
4443,2007-11-08,536000,885500
4442,2007-11-09,540000,639905
4441,2007-11-12,532000,518333
4440,2007-11-13,532000,507261
4439,2007-11-14,547000,599956
4438,2007-11-15,570000,1021965
4437,2007-11-16,557000,480745
4436,2007-11-19,541000,445045
4435,2007-11-20,531000,431832
4434,2007-11-21,515000,662031
4433,2007-11-22,539000,763412
4432,2007-11-23,557000,858483
4431,2007-11-26,563000,556621
4430,2007-11-27,539000,678884
4429,2007-11-28,544000,488377
4428,2007-11-29,567000,894868
4427,2007-11-30,565000,593196
4426,2007-12-03,566000,465441
4425,2007-12-04,575000,412473
4424,2007-12-05,582000,464512
4423,2007-12-06,612000,1125181
4422,2007-12-07,608000,604735
4421,2007-12-10,614000,452015
4420,2007-12-11,603000,448498
4419,2007-12-12,598000,603108
4418,2007-12-13,590000,686677
4417,2007-12-14,581000,401297
4416,2007-12-17,560000,588904
4415,2007-12-18,560000,435046
4414,2007-12-20,559000,439365
4413,2007-12-21,560000,367215
4412,2007-12-24,578000,377486
4411,2007-12-26,576000,219840
4410,2007-12-27,570000,238236
4409,2007-12-28,556000,296401
4408,2008-01-02,544000,360944
4407,2008-01-03,546000,386930
4406,2008-01-04,539000,359947
4405,2008-01-07,519000,795744
4404,2008-01-08,516000,495674
4403,2008-01-09,525000,477309
4402,2008-01-10,516000,631027
4401,2008-01-11,516000,468503
4400,2008-01-14,525000,443340
4399,2008-01-15,532000,805679
4398,2008-01-16,530000,988962
4397,2008-01-17,560000,844278
4396,2008-01-18,567000,711728
4395,2008-01-21,564000,501701
4394,2008-01-22,536000,864273
4393,2008-01-23,540000,726077
4392,2008-01-24,556000,558040
4391,2008-01-25,561000,522150
4390,2008-01-28,539000,544264
4389,2008-01-29,558000,429425
4388,2008-01-30,571000,715388
4387,2008-01-31,595000,935342
4386,2008-02-01,586000,567042
4385,2008-02-04,612000,938431
4384,2008-02-05,613000,464151
4383,2008-02-11,584000,576825
4382,2008-02-12,573000,370261
4381,2008-02-13,574000,431174
4380,2008-02-14,593000,576741
4379,2008-02-15,586000,400020
4378,2008-02-18,577000,368249
4377,2008-02-19,587000,332820
4376,2008-02-20,578000,363429
4375,2008-02-21,594000,425392
4374,2008-02-22,582000,311492
4373,2008-02-25,581000,304726
4372,2008-02-26,571000,247871
4371,2008-02-27,578000,277656
4370,2008-02-28,580000,290722
4369,2008-02-29,560000,459776
4368,2008-03-03,549000,442736
4367,2008-03-04,552000,339511
4366,2008-03-05,562000,421940
4365,2008-03-06,562000,377012
4364,2008-03-07,550000,405455
4363,2008-03-10,554000,357960
4362,2008-03-11,555000,627098
4361,2008-03-12,560000,487481
4360,2008-03-13,550000,616703
4359,2008-03-14,547000,443619
4358,2008-03-17,550000,814825
4357,2008-03-18,568000,849608
4356,2008-03-19,591000,700706
4355,2008-03-20,606000,646685
4354,2008-03-21,607000,431495
4353,2008-03-24,599000,211833
4352,2008-03-25,610000,428317
4351,2008-03-26,612000,318996
4350,2008-03-27,605000,418533
4349,2008-03-28,613000,506860
4348,2008-03-31,623000,586773
4347,2008-04-01,636000,679572
4346,2008-04-02,661000,778721
4345,2008-04-03,662000,433515
4344,2008-04-04,650000,350113
4343,2008-04-07,650000,411714
4342,2008-04-08,646000,341622
4341,2008-04-10,656000,674191
4340,2008-04-11,680000,795995
4339,2008-04-14,678000,420276
4338,2008-04-15,658000,392714
4337,2008-04-16,651000,502937
4336,2008-04-17,661000,404439
4335,2008-04-18,665000,504488
4334,2008-04-21,674000,429666
4333,2008-04-22,675000,367195
4332,2008-04-23,653000,508013
4331,2008-04-24,661000,502378
4330,2008-04-25,690000,1005154
4329,2008-04-28,716000,764629
4328,2008-04-29,710000,434594
4327,2008-04-30,711000,627649
4326,2008-05-02,731000,1008350
4325,2008-05-06,745000,767162
4324,2008-05-07,741000,446575
4323,2008-05-08,728000,688815
4322,2008-05-09,709000,581711
4321,2008-05-13,735000,600893
4320,2008-05-14,738000,401059
4319,2008-05-15,764000,549754
4318,2008-05-16,760000,604150
4317,2008-05-19,728000,632545
4316,2008-05-20,713000,912462
4315,2008-05-21,718000,473984
4314,2008-05-22,713000,362597
4313,2008-05-23,707000,294057
4312,2008-05-26,679000,844508
4311,2008-05-27,702000,364827
4310,2008-05-28,692000,415084
4309,2008-05-29,730000,497100
4308,2008-05-30,741000,493392
4307,2008-06-02,726000,397396
4306,2008-06-03,704000,419364
4305,2008-06-04,713000,286740
4304,2008-06-05,709000,362537
4303,2008-06-09,686000,619982
4302,2008-06-10,666000,560106
4301,2008-06-11,681000,479723
4300,2008-06-12,663000,901709
4299,2008-06-13,674000,529803
4298,2008-06-16,691000,335345
4297,2008-06-17,688000,365451
4296,2008-06-18,704000,302076
4295,2008-06-19,675000,516520
4294,2008-06-20,668000,428189
4293,2008-06-23,658000,408770
4292,2008-06-24,659000,313711
4291,2008-06-25,655000,446589
4290,2008-06-26,665000,398145
4289,2008-06-27,643000,511537
4288,2008-06-30,625000,573479
4287,2008-07-01,636000,673368
4286,2008-07-02,630000,488587
4285,2008-07-03,633000,586598
4284,2008-07-04,616000,450406
4283,2008-07-07,614000,523088
4282,2008-07-08,593000,558290
4281,2008-07-09,575000,597274
4280,2008-07-10,560000,1074177
4279,2008-07-11,568000,655727
4278,2008-07-14,567000,415808
4277,2008-07-15,553000,544346
4276,2008-07-16,561000,517293
4275,2008-07-17,584000,652098
4274,2008-07-18,582000,309078
4273,2008-07-21,599000,519952
4272,2008-07-22,590000,382911
4271,2008-07-23,587000,568533
4270,2008-07-24,614000,700116
4269,2008-07-25,576000,1011832
4268,2008-07-28,560000,877946
4267,2008-07-29,544000,597317
4266,2008-07-30,548000,527976
4265,2008-07-31,564000,526648
4264,2008-08-01,565000,270036
4263,2008-08-04,565000,342112
4262,2008-08-05,567000,491624
4261,2008-08-06,587000,427759
4260,2008-08-07,578000,469476
4259,2008-08-08,573000,490693
4258,2008-08-11,585000,438263
4257,2008-08-12,595000,627707
4256,2008-08-13,587000,388962
4255,2008-08-14,580000,394525
4254,2008-08-18,579000,330346
4253,2008-08-19,564000,357515
4252,2008-08-20,560000,440811
4251,2008-08-21,553000,352531
4250,2008-08-22,557000,317527
4249,2008-08-25,560000,291262
4248,2008-08-26,540000,654017
4247,2008-08-27,530000,687408
4246,2008-08-28,521000,546440
4245,2008-08-29,516000,729444
4244,2008-09-01,506000,716739
4243,2008-09-02,517000,688885
4242,2008-09-03,527000,514484
4241,2008-09-04,514000,555711
4240,2008-09-05,520000,872989
4239,2008-09-08,543000,778548
4238,2008-09-09,536000,440819
4237,2008-09-10,542000,730137
4236,2008-09-11,537000,944275
4235,2008-09-12,543000,605174
4234,2008-09-16,525000,821181
4233,2008-09-17,525000,599571
4232,2008-09-18,517000,822604
4231,2008-09-19,558000,1065490
4230,2008-09-22,558000,550053
4229,2008-09-23,560000,462841
4228,2008-09-24,564000,414021
4227,2008-09-25,567000,363040
4226,2008-09-26,553000,526402
4225,2008-09-29,544000,557064
4224,2008-09-30,539000,757960
4223,2008-10-01,533000,515995
4222,2008-10-02,528000,547951
4221,2008-10-06,517000,635956
4220,2008-10-07,531000,593762
4219,2008-10-08,528000,658704
4218,2008-10-09,541000,717606
4217,2008-10-10,521000,883889
4216,2008-10-13,524000,610040
4215,2008-10-14,560000,661042
4214,2008-10-15,547000,629148
4213,2008-10-16,504000,938627
4212,2008-10-17,505000,890837
4211,2008-10-20,521000,552337
4210,2008-10-21,519000,490358
4209,2008-10-22,508000,677300
4208,2008-10-23,472500,1000460
4207,2008-10-24,407500,1192527
4206,2008-10-27,438000,962000
4205,2008-10-28,463500,995508
4204,2008-10-29,475000,1297469
4203,2008-10-30,537000,1094097
4202,2008-10-31,535000,1231473
4201,2008-11-03,516000,882742
4200,2008-11-04,514000,783348
4199,2008-11-05,515000,820001
4198,2008-11-06,491500,774507
4197,2008-11-07,489500,992374
4196,2008-11-10,474500,908392
4195,2008-11-11,470500,720884
4194,2008-11-12,480500,609281
4193,2008-11-13,474000,737100
4192,2008-11-14,465000,591769
4191,2008-11-17,450500,651607
4190,2008-11-18,435000,679475
4189,2008-11-19,438000,620423
4188,2008-11-20,423000,561849
4187,2008-11-21,442000,631373
4186,2008-11-24,440000,582670
4185,2008-11-25,451500,662270
4184,2008-11-26,473000,620918
4183,2008-11-27,485000,531590
4182,2008-11-28,486000,451281
4181,2008-12-01,476500,430148
4180,2008-12-02,454000,483696
4179,2008-12-03,441000,723926
4178,2008-12-04,430500,699805
4177,2008-12-05,427000,591562
4176,2008-12-08,464000,808511
4175,2008-12-09,469500,593059
4174,2008-12-10,481000,745554
4173,2008-12-11,482500,1038513
4172,2008-12-12,465000,558446
4171,2008-12-15,472000,558818
4170,2008-12-16,457000,704494
4169,2008-12-17,459500,677723
4168,2008-12-18,468000,667525
4167,2008-12-19,489500,980858
4166,2008-12-22,486000,458601
4165,2008-12-23,456500,570568
4164,2008-12-24,460000,378921
4163,2008-12-26,456000,231564
4162,2008-12-29,454000,319072
4161,2008-12-30,451000,359177
4160,2009-01-02,470000,460533
4159,2009-01-05,476000,609528
4158,2009-01-06,498000,901449
4157,2009-01-07,524000,827163
4156,2009-01-08,508000,613566
4155,2009-01-09,493000,602855
4154,2009-01-12,489500,354360
4153,2009-01-13,491500,351933
4152,2009-01-14,489500,386381
4151,2009-01-15,459500,629006
4150,2009-01-16,469000,445234
4149,2009-01-19,475000,382738
4148,2009-01-20,464000,369921
4147,2009-01-21,448500,444825
4146,2009-01-22,461000,524424
4145,2009-01-23,442000,632513
4144,2009-01-28,488500,919012
4143,2009-01-29,498500,656374
4142,2009-01-30,488000,386698
4141,2009-02-02,473500,471490
4140,2009-02-03,490000,549025
4139,2009-02-04,518000,614068
4138,2009-02-05,521000,695839
4137,2009-02-06,545000,696621
4136,2009-02-09,527000,652399
4135,2009-02-10,520000,497492
4134,2009-02-11,513000,325350
4133,2009-02-12,520000,560429
4132,2009-02-13,511000,481436
4131,2009-02-16,504000,327738
4130,2009-02-17,490500,473899
4129,2009-02-18,478000,581210
4128,2009-02-19,480500,529170
